# Melhores coberturas conhecidas no mundo, e melhores limites inferiores
# já provados, para o covering design C(v,k,t).
#
# Fonte: La Jolla Covering Repository, D. M. Gordon.
#   https://github.com/dmgordo/LJCR
# Licença: Creative Commons Attribution 4.0 (CC BY 4.0).
#
# Gerado por ferramentas/atualizar-referencia.py — não editar à mão.
#
# v,k,t,melhor_conhecido,limite_publicado
20,4,3,285,285
20,5,2,21,21
20,5,3,133,124
20,5,4,1068,1028
20,6,2,16,16
20,6,3,71,64
20,6,4,382,344
20,6,5,2850,2624
20,7,2,12,12
20,7,3,45,43
20,7,4,198,164
20,7,5,980,852
20,7,6,6552,5963
20,8,2,9,9
20,8,3,28,28
20,8,4,93,83
20,8,5,418,328
20,8,6,1987,1393
20,8,7,11292,9713
20,9,2,7,7
20,9,3,21,20
20,9,4,63,54
20,9,5,211,165
20,9,6,820,587
20,9,7,3405,2349
20,9,8,18397,15269
20,10,2,6,6
20,10,3,15,14
20,10,4,36,32
20,10,5,96,90
20,10,6,343,242
20,10,7,1296,812
20,10,8,4510,3336
20,11,2,6,6
20,11,3,12,11
20,11,4,28,24
20,11,5,64,50
20,11,6,172,119
20,11,7,425,340
20,11,8,1658,1017
20,12,2,4,4
20,12,3,10,9
20,12,4,20,15
20,12,5,42,32
20,12,6,84,70
20,12,7,186,142
20,12,8,470,309
20,13,2,4,4
20,13,3,8,8
20,13,4,15,14
20,13,5,31,24
20,13,6,64,45
20,13,7,122,79
20,13,8,256,167
20,14,2,3,3
20,14,3,6,6
20,14,4,10,10
20,14,5,18,16
20,14,6,32,26
20,14,7,60,43
20,14,8,119,80
20,15,2,3,3
20,15,3,4,4
20,15,4,8,8
20,15,5,12,12
20,15,6,19,19
20,15,7,34,28
20,15,8,57,44
20,16,2,3,3
20,16,3,4,4
20,16,4,5,5
20,16,5,8,8
20,16,6,12,12
20,16,7,17,17
20,16,8,26,26
20,17,2,3,3
20,17,3,4,4
20,17,4,5,5
20,17,5,6,6
20,17,6,8,8
20,17,7,12,12
20,17,8,16,16
20,18,2,3,3
20,18,3,4,4
20,18,4,5,5
20,18,5,6,6
20,18,6,7,7
20,18,7,8,8
20,18,8,9,9
20,19,2,3,3
20,19,3,4,4
20,19,4,5,5
20,19,5,6,6
20,19,6,7,7
20,19,7,8,8
20,19,8,9,9
21,3,2,70,70
21,4,2,37,37
21,4,3,352,352
21,5,2,21,21
21,5,3,151,147
21,5,4,1247,1197
21,6,2,17,17
21,6,3,77,74
21,6,4,484,434
21,6,5,3908,3598
21,7,2,13,13
21,7,3,49,48
21,7,4,235,192
21,7,5,1279,1032
21,7,6,9218,7872
21,8,2,11,11
21,8,3,35,32
21,8,4,124,113
21,8,5,558,431
21,8,6,2890,2237
21,8,7,17833,15653
21,9,2,7,7
21,9,3,24,21
21,9,4,75,66
21,9,5,268,194
21,9,6,1060,766
21,9,7,5265,3251
21,9,8,28571,22664
21,10,2,7,7
21,10,3,18,16
21,10,4,49,42
21,10,5,145,114
21,10,6,514,347
21,10,7,1888,1233
21,10,8,7676,4933
21,11,2,6,6
21,11,3,14,13
21,11,4,31,27
21,11,5,79,62
21,11,6,221,172
21,11,7,692,462
21,11,8,2626,1551
21,12,2,5,5
21,12,3,11,11
21,12,4,25,20
21,12,5,54,42
21,12,6,127,88
21,12,7,315,209
21,12,8,755,595
21,13,2,4,4
21,13,3,9,9
21,13,4,18,15
21,13,5,37,25
21,13,6,75,52
21,13,7,158,114
21,13,8,342,230
21,14,2,3,3
21,14,3,7,7
21,14,4,14,12
21,14,5,27,21
21,14,6,56,36
21,14,7,104,68
21,14,8,193,119
21,15,2,3,3
21,15,3,5,5
21,15,4,9,9
21,15,5,16,14
21,15,6,27,23
21,15,7,50,37
21,15,8,96,61
21,16,2,3,3
21,16,3,4,4
21,16,4,7,7
21,16,5,12,12
21,16,6,17,17
21,16,7,28,25
21,16,8,48,37
21,17,2,3,3
21,17,3,4,4
21,17,4,5,5
21,17,5,8,8
21,17,6,11,11
21,17,7,16,15
21,17,8,21,21
21,18,2,3,3
21,18,3,4,4
21,18,4,5,5
21,18,5,6,6
21,18,6,7,7
21,18,7,11,11
21,18,8,15,15
21,19,2,3,3
21,19,3,4,4
21,19,4,5,5
21,19,5,6,6
21,19,6,7,7
21,19,7,8,8
